artist,track_name,lyrics,lyrics_annotation,work_meta,recording_meta,release_meta,artist_meta,secondhandsong_artist_meta,aligned_id,aligned_title
The Beatles,I Saw Her Standing There,lyrics_The Beatles_I Saw Her Standing There.json,annotation_isawherstandingthere_thebeatles.json,work_a8a158e3-0a0e-37e1-b5b5-9480a02d816e.json,recording_da77d23c-3acb-4b3d-9596-24aa55f03ece.json,release_3efc3a17-a43c-4d02-8379-003668d3aaea.json,artist_da77d23c-3acb-4b3d-9596-24aa55f03ece.json,shs_41.json,isophonics_157,01_-_I_Saw_Her_Standing_There
The Beatles,Misery,lyrics_The Beatles_Misery.json,annotation_misery_thebeatles.json,work_a92ad8ad-34f4-3af3-b708-c6100eed2bc5.json,recording_c91fd146-01cb-4673-b653-d0845c05e164.json,release_11f7677e-8c09-467f-a2dc-a02e94ce05de.json,artist_c91fd146-01cb-4673-b653-d0845c05e164.json,shs_41.json,isophonics_128,02_-_Misery
The Beatles,Anna (Go To Him),lyrics_The Beatles_Anna (Go To Him).json,annotation_anna(gotohim)_thebeatles.json,work_f85e85e4-e486-34a4-baf5-db003adfa9f0.json,recording_db567516-40c0-46b0-9198-a196b8d2a19c.json,release_33136d83-ed67-40ae-a495-7b12882481d1.json,artist_db567516-40c0-46b0-9198-a196b8d2a19c.json,shs_41.json,isophonics_133,03_-_Anna_(Go_To_Him)
The Beatles,Chains,lyrics_The Beatles_Chains.json,annotation_chains_thebeatles.json,work_3c45ba61-5116-35ef-bc5e-03c60511779b.json,recording_b4e7e5e2-69a5-423c-be62-6a888d07ccb6.json,release_c1e9f78a-9626-49cf-8dd4-6f1996ca3894.json,artist_b4e7e5e2-69a5-423c-be62-6a888d07ccb6.json,shs_41.json,isophonics_235,04_-_Chains
The Beatles,Boys,lyrics_The Beatles_Boys.json,annotation_boys_thebeatles.json,work_ce7a1aeb-8feb-32ea-ab0f-255599a34107.json,recording_64e7b8ca-2fa2-47ae-8f6a-e3ebf835e2da.json,release_9813b116-80c7-46a1-9189-01ad1776332c.json,artist_64e7b8ca-2fa2-47ae-8f6a-e3ebf835e2da.json,shs_41.json,isophonics_79,05_-_Boys
The Beatles,Ask Me Why,lyrics_The Beatles_Ask Me Why.json,annotation_askmewhy_thebeatles.json,work_07760ebd-56ef-3b95-b776-c0ff787326d8.json,recording_04532aae-d0cb-403c-8e09-7ea1716a124c.json,release_33136d83-ed67-40ae-a495-7b12882481d1.json,artist_04532aae-d0cb-403c-8e09-7ea1716a124c.json,shs_41.json,isophonics_8,06_-_Ask_Me_Why
The Beatles,Please Please Me,lyrics_The Beatles_Please Please Me.json,annotation_pleasepleaseme_thebeatles.json,work_c4bb79ce-b942-3939-bfb1-9b57cc74ea5b.json,recording_875c1cf7-f568-4f0d-b5e3-bc8a7614269a.json,release_e03b4ff2-9f48-4051-8848-835c7c75edfc.json,artist_875c1cf7-f568-4f0d-b5e3-bc8a7614269a.json,shs_41.json,isophonics_135,07_-_Please_Please_Me
The Beatles,Love Me Do,lyrics_The Beatles_Love Me Do.json,annotation_lovemedo_thebeatles.json,work_3d2be76e-8193-307e-bca5-71f9c734c0f0.json,recording_1f518811-7cf9-4bdc-a656-0958e130f312.json,release_e1eb091c-67a3-48fb-8b48-6765e0d0d6c1.json,artist_1f518811-7cf9-4bdc-a656-0958e130f312.json,shs_41.json,isophonics_140,08_-_Love_Me_Do
The Beatles,P. S. I Love You,lyrics_The Beatles_P. S. I Love You.json,annotation_p.s.iloveyou_thebeatles.json,work_16505c22-e286-3bb2-866e-ed00a8044cd7.json,recording_c84e23aa-20d9-45df-85cb-a6ecdba6e44e.json,release_f13a1f1c-ce72-4ebc-8859-6a8a60b3e58f.json,artist_c84e23aa-20d9-45df-85cb-a6ecdba6e44e.json,shs_41.json,isophonics_212,09_-_P._S._I_Love_You
The Beatles,Baby It's You,lyrics_The Beatles_Baby It's You.json,annotation_babyit'syou_thebeatles.json,work_74e33237-62d6-35d2-8a39-892b9d3f1506.json,recording_f9b03c87-41da-4e69-b97d-500d587e3703.json,release_193a914f-c349-42dd-a701-ba16ee140fe1.json,artist_f9b03c87-41da-4e69-b97d-500d587e3703.json,shs_41.json,isophonics_31,10_-_Baby_It's_You
